5196 	 2057940 	 112 	 72
5901 	 2058946 	 107 	 75
6303 	 2059896 	 91 	 71
7345 	 2060714 	 36 	 34
7365 	 2061074 	 2073 	 790
8134 	 2077224 	 46 	 36
8648 	 2077647 	 88 	 80
8889 	 2078488 	 4 	 4
11111 	 2078537 	 124 	 61
12313 	 2079590 	 52 	 47
12685 	 2080088 	 3 	 3
13991 	 2080128 	 8 	 1
14216 	 2080199 	 5 	 2
14382 	 2080251 	 1 	 1
15708 	 2080269 	 2 	 2
15932 	 2080297 	 36 	 35
16038 	 2080653 	 1330 	 1018
16140 	 2091646 	 18 	 16
16352 	 2091837 	 3518 	 1625
17634 	 2119877 	 160 	 157
18091 	 2121269 	 634 	 402
18123 	 2126611 	 465 	 351
18644 	 2130612 	 2 	 2
19130 	 2130640 	 15 	 15
19157 	 2130801 	 1 	 1
19472 	 2130819 	 1 	 1
20010 	 2130837 	 1 	 1
20356 	 2130855 	 20 	 15
21112 	 2131050 	 845 	 548
21456 	 2138148 	 33 	 16
23615 	 2138437 	 262 	 206
24069 	 2140747 	 3 	 2
24886 	 2140783 	 1 	 1
25070 	 2140800 	 10 	 8
25221 	 2140905 	 742 	 520
26362 	 2147246 	 1 	 1
26567 	 2147263 	 750 	 451
26588 	 2153464 	 3 	 2
26625 	 2153500 	 2643 	 1504
26866 	 2175198 	 2260 	 1352
27495 	 2193890 	 12 	 12
27615 	 2194023 	 42 	 33
30779 	 2194418 	 13 	 11
32166 	 2194557 	 154 	 68
32336 	 2195878 	 36 	 25
32534 	 2196207 	 11 	 10
32633 	 2196318 	 53 	 51
33221 	 2196834 	 356 	 164
33555 	 2199786 	 1 	 1
34378 	 2199803 	 12 	 5
35085 	 2199915 	 18 	 10
35978 	 2200075 	 6 	 6
36268 	 2200144 	 79 	 62
37206 	 2200867 	 7 	 2
38560 	 2200933 	 2 	 2
38672 	 2200962 	 4 	 3
39303 	 2201008 	 5375 	 1835
39918 	 2242703 	 140 	 120
40036 	 2243945 	 40 	 28
40102 	 2244307 	 1319 	 904
40389 	 2255250 	 4 	 4
40575 	 2255302 	 3 	 3
40931 	 2255340 	 29 	 25
41476 	 2255625 	 353 	 242
42204 	 2258531 	 217 	 112
42280 	 2260378 	 1519 	 771
42464 	 2273010 	 9 	 9
597 	 2273111 	 16 	 14
655 	 2273269 	 8 	 8
765 	 2273352 	 158 	 121
967 	 2274779 	 556 	 373
1542 	 2279439 	 8 	 7
2461 	 2279523 	 244 	 207
2571 	 2281709 	 65 	 55
3194 	 2282321 	 3162 	 1472
3340 	 2307767 	 25 	 25
3993 	 2308020 	 540 	 435
4328 	 2312631 	 980 	 743
4529 	 2320918 	 3349 	 1754
4931 	 2347742 	 210 	 124
5188 	 2349547 	 349 	 295
5952 	 2352569 	 286 	 191
6763 	 2355021 	 18 	 15
6924 	 2355202 	 598 	 383
7085 	 2360163 	 1 	 1
7451 	 2360180 	 139 	 87
8362 	 2361422 	 154 	 61
8379 	 2362709 	 146 	 112
8530 	 2364009 	 161 	 133
9678 	 2365472 	 279 	 240
9916 	 2367951 	 5213 	 2046
10263 	 2409155 	 90 	 70
10407 	 2409966 	 23 	 18
10513 	 2410194 	 278 	 233
11048 	 2412629 	 424 	 318
11179 	 2416205 	 37 	 15
11300 	 2416532 	 7 	 6
11733 	 2416609 	 2 	 1
12228 	 2416634 	 42 	 32
12329 	 2417024 	 213 	 163
12860 	 2418910 	 169 	 131
13080 	 2420410 	 458 	 342
13121 	 2424245 	 632 	 239
13230 	 2429225 	 780 	 530
13577 	 2435693 	 139 	 112
14266 	 2436926 	 501 	 407
15137 	 2441145 	 912 	 677
15801 	 2448816 	 304 	 215
15917 	 2451443 	 209 	 147
15971 	 2453259 	 331 	 269
16037 	 2456154 	 48 	 41
16406 	 2456615 	 1865 	 1146
16447 	 2471943 	 10 	 6
17614 	 2472043 	 6028 	 2578
18700 	 2520133 	 207 	 157
18888 	 2521968 	 241 	 143
19248 	 2524008 	 1309 	 845
19538 	 2534544 	 69 	 69
20315 	 2535154 	 94 	 85
20448 	 2536032 	 1196 	 889
20574 	 2545600 	 737 	 452
20699 	 2551811 	 19 	 18
20811 	 2552012 	 2 	 2
21013 	 2552040 	 611 	 232
21395 	 2556936 	 585 	 390
21734 	 2561952 	 3198 	 2822
22111 	 2588473 	 2 	 1
